dataset,granularity,family,model,fold,method,ece,auc,n_test,n_students
assist2009,concept,deep,akt,0,isotonic,0.007887645057344302,0.8313519723638556,61904,770
assist2009,concept,deep,akt,0,temperature,0.0049820333429126925,0.831487264362757,61904,770
assist2009,concept,deep,akt,1,none,0.006168805380620897,0.8292691006609424,61904,770
assist2009,concept,deep,akt,1,platt,0.010829316918694232,0.8292691006609424,61904,770
assist2009,concept,deep,akt,1,isotonic,0.010009683579694553,0.8289494818796711,61904,770
assist2009,concept,deep,akt,1,temperature,0.003514278877891785,0.8292691006609424,61904,770
assist2009,concept,deep,akt,2,none,0.0074279251457233944,0.8312255461362963,61904,770
assist2009,concept,deep,akt,2,platt,0.011182141564392295,0.8312255461362963,61904,770
assist2009,concept,deep,akt,2,isotonic,0.01103709670912499,0.831034213657289,61904,770
assist2009,concept,deep,akt,2,temperature,0.006410879677479532,0.8312255461362963,61904,770
assist2009,concept,deep,akt,3,none,0.007119898870692492,0.8293843709673778,61904,770
assist2009,concept,deep,akt,3,platt,0.011303491149705141,0.8293843709673778,61904,770
assist2009,concept,deep,akt,3,isotonic,0.011482638242464968,0.8291788375225289,61904,770
assist2009,concept,deep,akt,3,temperature,0.005098444517861489,0.8293843709673778,61904,770
assist2009,concept,deep,akt,4,none,0.019155259687143166,0.8298668540870471,61904,770
assist2009,concept,deep,akt,4,platt,0.00595140028157385,0.8298668540870471,61904,770
assist2009,concept,deep,akt,4,isotonic,0.006170731862992517,0.8294296686247882,61904,770
assist2009,concept,deep,akt,4,temperature,0.011930835037558481,0.8298668540870471,61904,770
assist2009,concept,deep,simplekt,0,none,0.055354763466805575,0.8278166352684132,61904,770
assist2009,concept,deep,simplekt,0,platt,0.00920960731855195,0.8278166352684132,61904,770
assist2009,concept,deep,simplekt,0,isotonic,0.0089113230670583,0.8276411448311964,61904,770
assist2009,concept,deep,simplekt,0,temperature,0.00942013523729188,0.8278166352684132,61904,770
assist2009,concept,deep,simplekt,1,none,0.09806807461820578,0.8268721768195548,61904,770
assist2009,concept,deep,simplekt,1,platt,0.012709493604137527,0.8268721768195548,61904,770
assist2009,concept,deep,simplekt,1,isotonic,0.014142313464093729,0.8266452194111356,61904,770
assist2009,concept,deep,simplekt,1,temperature,0.03770854641896975,0.8268721768195548,61904,770
assist2009,concept,deep,simplekt,2,none,0.011859834272036011,0.8290409939334707,61904,770
assist2009,concept,deep,simplekt,2,platt,0.012785487474010454,0.8290409939334707,61904,770
assist2009,concept,deep,simplekt,2,isotonic,0.01310922076198847,0.8287416905406717,61904,770
assist2009,concept,deep,simplekt,2,temperature,0.011758301856333085,0.8290409939334707,61904,770
assist2009,concept,deep,simplekt,3,none,0.03321059344688673,0.8320636628636588,61904,770
assist2009,concept,deep,simplekt,3,platt,0.011650454138134356,0.8320636628636588,61904,770
