dataset,granularity,family,model,fold,method,axis,quartile,ece,n_rows,n_students,ece_overall,selected_on_outcome
algebra2005,question,deep,dkt,0,temperature,ability_prefix5,1,0.029960174706621268,57697,77,0.022406449940957994,False
algebra2005,question,deep,dkt,0,none,ability_prefix10,0,0.009386468174701864,37046,41,0.018086310113828327,False
algebra2005,question,deep,dkt,0,none,ability_prefix10,1,0.02613729249986306,54759,73,0.018086310113828327,False
algebra2005,question,deep,dkt,0,platt,ability_prefix10,0,0.00791444225445621,37046,41,0.007970906446294062,False
algebra2005,question,deep,dkt,0,platt,ability_prefix10,1,0.01597333340421536,54759,73,0.007970906446294062,False
algebra2005,question,deep,dkt,0,isotonic,ability_prefix10,0,0.007609897592487488,37046,41,0.008037407517165068,False
algebra2005,question,deep,dkt,0,isotonic,ability_prefix10,1,0.01613921864814593,54759,73,0.008037407517165068,False
algebra2005,question,deep,dkt,0,temperature,ability_prefix10,0,0.011670457854004354,37046,41,0.022360755990688944,False
algebra2005,question,deep,dkt,0,temperature,ability_prefix10,1,0.029646685254337998,54759,73,0.022360755990688944,False
algebra2005,question,deep,dkt,0,none,ability_all_rows,0,0.013322160310303565,50789,57,0.018086310113828327,True
algebra2005,question,deep,dkt,0,none,ability_all_rows,1,0.03870468841427765,41016,57,0.018086310113828327,True
algebra2005,question,deep,dkt,0,platt,ability_all_rows,0,0.014308418386770496,50789,57,0.007970906446294062,True
algebra2005,question,deep,dkt,0,platt,ability_all_rows,1,0.03538228563504065,41016,57,0.007970906446294062,True
algebra2005,question,deep,dkt,0,isotonic,ability_all_rows,0,0.013893617586152845,50789,57,0.008037407517165068,True
algebra2005,question,deep,dkt,0,isotonic,ability_all_rows,1,0.0351940008946865,41016,57,0.008037407517165068,True
algebra2005,question,deep,dkt,0,temperature,ability_all_rows,0,0.005161579097724793,50789,57,0.022360755990688944,True
algebra2005,question,deep,dkt,0,temperature,ability_all_rows,1,0.046694157660704894,41016,57,0.022360755990688944,True
algebra2005,question,deep,dkt,0,none,ability_prefix20,0,0.010705203138058499,37093,44,0.018164933603917657,False
algebra2005,question,deep,dkt,0,none,ability_prefix20,1,0.02816821465235645,53575,67,0.018164933603917657,False
algebra2005,question,deep,dkt,0,platt,ability_prefix20,0,0.011192764728738917,37093,44,0.008053476496116495,False
algebra2005,question,deep,dkt,0,platt,ability_prefix20,1,0.019789374405569132,53575,67,0.008053476496116495,False
algebra2005,question,deep,dkt,0,isotonic,ability_prefix20,0,0.008742999875506755,37093,44,0.008109474993183841,False
algebra2005,question,deep,dkt,0,isotonic,ability_prefix20,1,0.01977739567081993,53575,67,0.008109474993183841,False
algebra2005,question,deep,dkt,0,temperature,ability_prefix20,0,0.007398440470033658,37093,44,0.02242023461031904,False
algebra2005,question,deep,dkt,0,temperature,ability_prefix20,1,0.0328206715687066,53575,67,0.02242023461031904,False
algebra2005,question,deep,dkt,0,none,history,0,0.027908068518370233,12493,57,0.018086310113828327,False
algebra2005,question,deep,dkt,0,none,history,1,0.01653921474682285,79312,57,0.018086310113828327,False
algebra2005,question,deep,dkt,0,platt,history,0,0.01746085883366892,12493,57,0.007970906446294062,False
algebra2005,question,deep,dkt,0,platt,history,1,0.006555495485623102,79312,57,0.007970906446294062,False
