dataset,granularity,fold,contrast_type,model_a,method_a,family_a,model_b,method_b,family_b,ece_a,ece_b,delta_ece,ci_low,ci_high,p,n_students,pairing,family_key,p_holm,reject_holm,family_size
bridge2algebra2006,question,2,within_deep,simplekt,isotonic,deep,akt,isotonic,deep,0.0025949944205906892,0.0026591293209423483,-6.413490035165909e-05,-0.001220874969004119,0.0012555145281814362,0.9771022897710229,229,paired,question|f2|within_deep,1.0,False,6
bridge2algebra2006,question,2,cross_family,simplekt,isotonic,deep,pfa_recency,isotonic,classical,0.0025949944205906892,0.002894335264672131,-0.00029934084408144183,-0.00213437307284033,0.001445268023905767,0.7679232076792321,229,unpaired_shared_students,question|f2|cross_family,1.0,False,6
bridge2algebra2006,question,3,within_deep,akt,isotonic,deep,sakt,platt,deep,0.004053345809605732,0.004205637174324579,-0.00015229136471884685,-0.0013886327300515065,0.0012571916851275569,0.9331066893310669,229,paired,question|f3|within_deep,1.0,False,6
bridge2algebra2006,question,3,cross_family,akt,isotonic,deep,elorasch,isotonic,classical,0.004053345809605732,0.004762161901945351,-0.0007088160923396187,-0.004986665565395881,0.0030501691865338046,0.6345365463453655,229,unpaired_shared_students,question|f3|cross_family,1.0,False,6
bridge2algebra2006,question,4,within_deep,akt,isotonic,deep,dkt,isotonic,deep,0.0023065783381634257,0.002313137945425538,-6.559607262112289e-06,-0.0015063684783947545,0.0014599390575101147,0.9955004499550045,229,paired,question|f4|within_deep,1.0,False,6
bridge2algebra2006,question,4,cross_family,akt,isotonic,deep,pfa_recency,isotonic,classical,0.0023065783381634257,0.003731526485116972,-0.0014249481469535462,-0.003324024220893709,0.0001483426669563961,0.07339266073392661,229,unpaired_shared_students,question|f4|cross_family,0.4403559644035597,False,6
ednet,concept,0,within_deep,dkt,isotonic,deep,sakt,isotonic,deep,0.0018369696838786995,0.002295097173616935,-0.00045812748973823544,-0.0012439514572820044,0.0014609475800274002,0.8307169283071693,937,paired,concept|f0|within_deep,1.0,False,7
ednet,concept,1,within_deep,akt,none,deep,dkt,none,deep,0.0027033965110097495,0.00951852281463831,-0.00681512630362856,-0.008313420743315626,-0.0024530763324378973,0.00019998000199980003,937,paired,concept|f1|within_deep,0.0013998600139986002,True,7
ednet,concept,2,within_deep,akt,none,deep,sakt,isotonic,deep,0.0023721344792033364,0.002514430315596704,-0.0001422958363933675,-0.0024689974783646327,0.002111123597284809,0.9739026097390261,937,paired,concept|f2|within_deep,1.0,False,7
ednet,concept,3,within_deep,akt,none,deep,sakt,isotonic,deep,0.0030752033198877798,0.007522029544838902,-0.004446826224951122,-0.006547807728026725,0.001900663296774923,0.23177682231776822,937,paired,concept|f3|within_deep,1.0,False,7
ednet,concept,4,within_deep,sakt,isotonic,deep,akt,isotonic,deep,0.0010084767979243175,0.002113143756953946,-0.0011046669590296287,-0.0014526333623859449,0.0017311713991354136,0.9833016698330167,937,paired,concept|f4|within_deep,1.0,False,7
ednet,question,0,within_deep,akt,platt,deep,simplekt,isotonic,deep,0.006936032201123269,0.007508835601810948,-0.0005728034006876786,-0.004449103037177786,0.004794025216417068,0.7903209679032097,937,paired,question|f0|within_deep,1.0,False,6
ednet,question,0,cross_family,elorasch,isotonic,classical,akt,platt,deep,0.005777466784958086,0.006936032201123269,-0.0011585654161651833,-0.01612993833898215,0.0030901689179603053,0.30356964303569645,937,unpaired_shared_students,question|f0|cross_family,1.0,False,6
ednet,question,1,within_deep,simplekt,isotonic,deep,akt,isotonic,deep,0.02428916848986519,0.025427929863352954,-0.0011387613734877636,-0.0036347935263978397,0.0016909330077516846,0.43975602439756023,937,paired,question|f1|within_deep,1.0,False,6
ednet,question,1,cross_family,elorasch,isotonic,classical,simplekt,isotonic,deep,0.010547276058205228,0.02428916848986519,-0.013741892431659962,-0.029288994936639032,0.0020101389619199147,0.10318968103189681,937,unpaired_shared_students,question|f1|cross_family,0.41275872412758724,False,6
ednet,question,2,within_deep,sakt,platt,deep,simplekt,isotonic,deep,0.002736845153832918,0.005363536964829677,-0.0026266918109967585,-0.0058426141294317235,0.005134768249864937,0.9025097490250975,937,paired,question|f2|within_deep,1.0,False,6
ednet,question,2,cross_family,sakt,platt,deep,elorasch,isotonic,classical,0.002736845153832918,0.004776343418713842,-0.002039498264880924,-0.004823184217900746,0.0141518733173029,0.6219378062193781,937,unpaired_shared_students,question|f2|cross_family,1.0,False,6
ednet,question,3,within_deep,simplekt,isotonic,deep,akt,isotonic,deep,0.01922625549493296,0.01950422581327468,-0.00027797031834171995,-0.0046747289833649446,0.0029311583773418224,0.9383061693830617,937,paired,question|f3|within_deep,1.0,False,6
ednet,question,3,cross_family,bkt,none,classical,simplekt,isotonic,deep,0.011121558427722172,0.01922625549493296,-0.008104697067210788,-0.019447343120112735,0.013312990374765316,0.36376362363763626,937,unpaired_shared_students,question|f3|cross_family,1.0,False,6
ednet,question,4,within_deep,simplekt,isotonic,deep,akt,isotonic,deep,0.0041985368952779205,0.004329825294768161,-0.0001312883994902406,-0.0033051874378102206,0.0042160638310804075,0.9977002299770023,937,paired,question|f4|within_deep,1.0,False,6
ednet,question,4,cross_family,simplekt,isotonic,deep,elorasch,temperature,classical,0.0041985368952779205,0.006208905394492388,-0.0020103684992144677,-0.0060257181087460705,0.013932823065050889,0.8421157884211579,937,unpaired_shared_students,question|f4|cross_family,1.0,False,6
