dataset,granularity,family,model,fold,method,ece_equal_width,ece_equal_mass,best_equal_width,best_equal_mass
assist2009,concept,deep,sakt,0,isotonic,0.010047348576907584,0.011498975881685273,isotonic,isotonic
assist2009,concept,deep,sakt,0,temperature,0.011277537832232424,0.012315099467375887,isotonic,isotonic
assist2009,concept,deep,sakt,1,none,0.04249956474733232,0.041137135064651324,isotonic,isotonic
assist2009,concept,deep,sakt,1,platt,0.01142508903273787,0.011344752524338081,isotonic,isotonic
assist2009,concept,deep,sakt,1,isotonic,0.009272738106951261,0.009820972090786018,isotonic,isotonic
assist2009,concept,deep,sakt,1,temperature,0.01264064646680113,0.01260558759751588,isotonic,isotonic
assist2009,concept,deep,sakt,2,none,0.03825182835630443,0.03802240754817806,platt,platt
assist2009,concept,deep,sakt,2,platt,0.01208777048152743,0.012174909051263332,platt,platt
assist2009,concept,deep,sakt,2,isotonic,0.012917450556114088,0.013039929513264874,platt,platt
assist2009,concept,deep,sakt,2,temperature,0.012530093084826732,0.012588400764195458,platt,platt
assist2009,concept,deep,sakt,3,none,0.04516834967189442,0.04443663732171214,isotonic,platt
assist2009,concept,deep,sakt,3,platt,0.011542348444524387,0.011438867692900236,isotonic,platt
assist2009,concept,deep,sakt,3,isotonic,0.009497674172773833,0.012952813136995122,isotonic,platt
assist2009,concept,deep,sakt,3,temperature,0.01675310679883543,0.017162823707880387,isotonic,platt
assist2009,concept,deep,sakt,4,none,0.033467823304739054,0.03330800086472873,temperature,temperature
assist2009,concept,deep,sakt,4,platt,0.009484380869694616,0.009736494729290493,temperature,temperature
assist2009,concept,deep,sakt,4,isotonic,0.009194434244967936,0.010848389070703885,temperature,temperature
assist2009,concept,deep,sakt,4,temperature,0.006763850695865125,0.007002374391891164,temperature,temperature
assist2009,concept,deep,akt,0,none,0.010144944341557658,0.009800830360641128,temperature,temperature
assist2009,concept,deep,akt,0,platt,0.008486001683560366,0.008865189813897695,temperature,temperature
assist2009,concept,deep,akt,0,isotonic,0.007887645057344302,0.007480664851884014,temperature,temperature
assist2009,concept,deep,akt,0,temperature,0.0049820333429126925,0.005964704863943021,temperature,temperature
