dataset,granularity,family,model,fold,method,axis,q_low,q_high,ece_low,ece_high,ece_overall,ratio_low_over_high,ratio_low_over_overall,delta_ece,ci_low,ci_high,p,equalized_ce,n_students_low,n_students_high,n_eval_rows,selected_on_outcome,family_key,p_holm,reject_holm,family_size
ednet,concept,deep,sakt,4,none,ability_all_rows,0,3,0.04413176463213742,0.019279293089834205,0.013667643294641383,2.289075871532224,3.228922768963394,0.024852471542303217,0.016756672038710126,0.03285580125033706,0.00019998000199980003,0.030464121337496042,139,142,292426,True,concept|ability_all_rows|none|f4,0.005599440055994401,True,28
ednet,concept,deep,sakt,4,platt,ability_all_rows,0,3,0.04939572641725591,0.02003410656175526,0.0056139820137350435,2.46558169514539,8.798696949225242,0.02936161985550065,0.02347318041507902,0.039214523733276954,0.00019998000199980003,0.04378174440352087,139,142,292426,True,concept|ability_all_rows|platt|f4,0.005599440055994401,True,28
ednet,concept,deep,sakt,4,isotonic,ability_all_rows,0,3,0.056393306355146035,0.021491511484227326,0.002330708586281158,2.623980467661999,24.195777493198456,0.03490179487091871,0.028129462403955398,0.04457952925280287,0.00019998000199980003,0.05406259776886488,139,142,292426,True,concept|ability_all_rows|isotonic|f4,0.005599440055994401,True,28
ednet,concept,deep,sakt,4,temperature,ability_all_rows,0,3,0.040876906999785315,0.026138619398746208,0.01128356815147996,1.5638510349841224,3.6226933228053286,0.014738287601039107,0.007425972030477244,0.024122439630900893,0.00039996000399960006,0.029593338848305353,139,142,292426,True,concept|ability_all_rows|temperature|f4,0.005599440055994401,True,28
ednet,concept,deep,sakt,4,none,ability_prefix20,0,3,0.019168452738439125,0.01599948403378529,0.013764257417660415,1.1980669312811643,1.3926252726024133,0.0031689687046538365,-0.003917662271059879,0.011643879400215077,0.40075992400759924,0.00540419532077871,102,133,287011,False,concept|ability_prefix20|none|f4,1.0,False,28
ednet,concept,deep,sakt,4,platt,ability_prefix20,0,3,0.012495227265980024,0.008584380263997864,0.00589308412069193,1.4555770925460871,2.1203205333700397,0.0039108470019821595,-0.0033546447830768854,0.014570677223578849,0.35976402359764026,0.006602143145288094,102,133,287011,False,concept|ability_prefix20|platt|f4,1.0,False,28
ednet,concept,deep,sakt,4,isotonic,ability_prefix20,0,3,0.010620040038471652,0.006173998831388697,0.0026921736466816704,1.7201234286730376,3.94478270432583,0.004446041207082955,-0.004568061913236073,0.016513533850408837,0.43455654434556545,0.007927866391789981,102,133,287011,False,concept|ability_prefix20|isotonic|f4,1.0,False,28
ednet,concept,deep,sakt,4,temperature,ability_prefix20,0,3,0.012694869045717523,0.014163429295163085,0.011515854102190248,0.8963132290322453,1.1023818930897216,-0.0014685602494455621,-0.006686644180030283,0.006803085881871538,0.946905309469053,0.004119934930504634,102,133,287011,False,concept|ability_prefix20|temperature|f4,1.0,False,28
ednet,concept,deep,sakt,4,none,history,0,3,0.035810387159274995,0.014089635506882574,0.013667643294641383,2.5416120340218993,2.620084998363619,0.02172075165239242,0.009945197921758542,0.05801218874852634,0.0015998400159984002,0.03226018259370172,31,218,292426,False,concept|history|none|f4,0.03519648035196481,True,28
ednet,concept,deep,sakt,4,platt,history,0,3,0.03545141108068622,0.006354781005329187,0.0056139820137350435,5.578699100874804,6.314842298025106,0.02909663007535703,0.01442572447696012,0.06606814225528689,0.00019998000199980003,0.037099298135149616,31,218,292426,False,concept|history|platt|f4,0.005599440055994401,True,28
