dataset,granularity,family,model,fold,contrast,method_a,method_b,ece_a,ece_b,delta_ece,ci_low,ci_high,p,n_students,n_test,family_key,p_holm,reject_holm,family_size
algebra2005,question,classical,pfa,3,iso_vs_none,isotonic,none,0.00524731946135073,0.03302954771471978,-0.027782228253369054,-0.03027168698290415,-0.018234060356951794,0.00019998000199980003,114,93595,question|f3|iso_vs_none,0.010398960103989602,True,52
algebra2005,question,classical,pfa,3,best_vs_runnerup,isotonic,platt,0.00524731946135073,0.011701781261693826,-0.006454461800343096,-0.008462497449176648,-0.0005033252209590375,0.0163983601639836,114,93595,question|f3|best_vs_runnerup,0.6159384061593841,False,52
algebra2005,question,classical,pfa,4,iso_vs_none,isotonic,none,0.006212237989740156,0.03752134876530182,-0.031309110775561665,-0.03484062249257012,-0.01735115146930114,0.00019998000199980003,114,93595,question|f4|iso_vs_none,0.010398960103989602,True,52
algebra2005,question,classical,pfa,4,best_vs_runnerup,isotonic,platt,0.006212237989740156,0.008729436195264152,-0.0025171982055239963,-0.00747482919052026,0.0013182953531007356,0.30016998300169984,114,93595,question|f4|best_vs_runnerup,1.0,False,52
algebra2005,question,classical,pfa_recency,0,iso_vs_none,isotonic,none,0.012892235475268115,0.03593917063661292,-0.023046935161344807,-0.034496555862096503,-0.016339101133262438,0.00019998000199980003,114,93595,question|f0|iso_vs_none,0.010398960103989602,True,52
algebra2005,question,classical,pfa_recency,0,best_vs_runnerup,isotonic,platt,0.012892235475268115,0.017868699923528266,-0.004976464448260151,-0.014389458094753714,-0.00014104186865779913,0.043795620437956206,114,93595,question|f0|best_vs_runnerup,1.0,False,52
algebra2005,question,classical,pfa_recency,1,iso_vs_none,isotonic,none,0.01742381203563955,0.036694265480430775,-0.019270453444791225,-0.03321438674992002,-0.012994711881093102,0.00019998000199980003,114,93595,question|f1|iso_vs_none,0.010398960103989602,True,52
algebra2005,question,classical,pfa_recency,1,best_vs_runnerup,isotonic,platt,0.01742381203563955,0.022698295766369187,-0.0052744837307296365,-0.01002875298978867,-0.00028333181380902635,0.029197080291970802,114,93595,question|f1|best_vs_runnerup,0.8467153284671532,False,52
algebra2005,question,classical,pfa_recency,2,iso_vs_none,isotonic,none,0.00521198563245547,0.03676533641493106,-0.031553350782475585,-0.03420965243593751,-0.02313937279911425,0.00019998000199980003,114,93595,question|f2|iso_vs_none,0.010398960103989602,True,52
algebra2005,question,classical,pfa_recency,2,best_vs_runnerup,isotonic,platt,0.00521198563245547,0.019417566989879415,-0.014205581357423946,-0.017527947920227577,-0.0014581297855866039,0.012398760123987601,114,93595,question|f2|best_vs_runnerup,0.44635536446355367,False,52
algebra2005,question,classical,pfa_recency,3,iso_vs_none,isotonic,none,0.005395114252848775,0.03702595758526504,-0.03163084333241627,-0.03439386397169232,-0.023385249870830422,0.00019998000199980003,114,93595,question|f3|iso_vs_none,0.010398960103989602,True,52
algebra2005,question,classical,pfa_recency,3,best_vs_runnerup,isotonic,platt,0.005395114252848775,0.017817428256431088,-0.012422314003582312,-0.014712072696929358,-0.0017202577622313113,0.008399160083991601,114,93595,question|f3|best_vs_runnerup,0.34436556344365565,False,52
algebra2005,question,classical,pfa_recency,4,iso_vs_none,isotonic,none,0.005632288918054403,0.039285808882673585,-0.03365351996461918,-0.038228287274907666,-0.01999867536278325,0.00019998000199980003,114,93595,question|f4|iso_vs_none,0.010398960103989602,True,52
algebra2005,question,classical,pfa_recency,4,best_vs_runnerup,isotonic,platt,0.005632288918054403,0.01856001788100607,-0.012927728962951666,-0.014116335294466152,-0.0018976751290193216,0.015198480151984802,114,93595,question|f4|best_vs_runnerup,0.5327467253274673,False,52
